lat;long
51.097;2.587
50.95;1.82
50.85;1.6
50.69;1.58
50.55;1.59
50.25;1.56
50.11;1.47
49.91;1.07
49.69;0.19
49.5;0.08
49.43;0.34
49.4;0.14
49.28;-0.18
49.38;-0.93
49.38;-1.06
49.35;-1.117
49.35;-1.17
49.4;-1.15
49.6;-1.31
49.64;-1.23
49.7;-1.37
49.65;-1.62
49.72;-1.92
49.67;-1.94
49.65;-1.86
49.55;-1.85
49.52;-1.88
49.36;-1.8
49.36;-1.76
49.13;-1.58
49.07;-1.6
48.96;-1.56
48.83;-1.6
48.82;-1.57
48.73;-1.57
48.72;-1.52
48.67;-1.49
48.65;-1.44
48.67;-1.37
48.65;-1.39
48.63;-1.42
48.61;-1.51
48.62;-1.52
48.6;-1.75
48.61;-1.84
48.64;-1.87
48.67;-1.83
48.71;-1.84
48.69;-1.91
48.69;-1.93
48.701;-1.9346
48.693;-1.938
48.688;-1.957
48.684;-1.939
48.679;-1.963
48.686;-1.965
48.683;-1.988
48.64;-2.03
48.618;-2.01
48.6157;-2.029
48.64;-2.05
48.63;-2.147
48.576;-2.168
48.607;-2.191
48.574;-2.203
48.634;-2.252
48.648;-2.245
48.61;-2.312
48.621;-2.334
48.664;-2.28
48.67;-2.312
48.687;-2.316
48.65;-2.382
48.642;-2.486
48.632;-2.461
48.595;-2.551
48.537;-2.63
48.523;-2.629
48.525;-2.655
48.5321;-2.678
48.4989;-2.68
48.546;-2.722
48.553;-2.71
48.596;-2.8152
48.649;-2.817
48.72;-2.941
48.76;-2.93
48.77;-3.02
48.81;-3.005
48.818;-3.07
48.866;-3.08
48.835;-3.208
48.867;-3.227
48.811;-3.3858
48.799;-3.388
48.799;-3.44
48.819;-3.425
48.815;-3.456
48.76;-3.598
48.675;-3.584
48.7;-3.828
48.649;-3.862
48.658;-3.96
48.72;-3.968
48.533;-4.757
48.318;-4.768
48.336;-4.617
48.38;-4.4
48.32;-4.435
48.2835;-4.21
48.283;-4.21
48.33;-4.534
48.323;-4.574
48.277;-4.567
48.285;-4.6
48.277;-4.62
48.249;-4.62
48.259;-4.608
48.25;-4.591
48.25;-4.543
48.232;-4.571
48.17;-4.559
48.167;-4.538
48.234;-4.49
48.1936;-4.302
48.134;-4.27
48.09;-4.3
48.109;-4.37
48.061;-4.711
48.041;-4.708
48.018;-4.649
48.029;-4.63
48.016;-4.622
47.99;-4.557
48.007;-4.551
47.96;-4.428
47.83;-4.345
47.8164;-4.382
47.792;-4.368
47.793;-4.186
47.852;-4.144
47.8418;-4.037
47.854;-3.974
47.889;-3.971
47.788;-3.854
47.757;-3.524
47.694;-3.4558
47.694;-3.358
47.685;-3.358
47.693;-3.337
47.586;-3.145866
47.533;-3.142
47.53024;-3.163
47.4727;-3.135
47.4673;-3.077
47.539;-3.133
47.563;-3.125
47.533;-2.903
47.498;-2.848
47.48;-2.279
47.507;-2.726
47.486;-2.669
47.507;-2.4595
47.49;-2.498
47.44;-2.489
47.41;-2.4719
47.37;-2.561
47.306;-2.504
47.289;-2.55
47.255;-2.4114
47.2785;-2.407
47.23;-2.3
47.26;-2.202
47.156;-2.171
47.129;-2.25
47.0235;-1.9844
46.921;-2.095
47.039;-2.25769
46.975;-2.327
46.491;-1.805
46.266;-1.1203
46.1801;-1.215
46.26;-1.544
46.212;-1.583
46.111;-1.137
45.9427;-1.097
46.039;-1.14
45.949;-1.38
45.865;-1.25
45.668;-1.2318
45.5671;-1.1067
45.481;-1.159
44.62;-1.26
43.666;-1.439
43.468;-1.5724
43.397;-1.657
43.37932;-1.767
43.391;-1.796
